G5	北京南-济南西-南京南-上海虹桥	
G6	上海虹桥-南京南-济南西-北京南	
G7	北京南-济南西-南京南-上海虹桥	
G11	北京南-济南西-曲阜东-南京南-苏州北-上海虹桥	
G12	上海虹桥-常州北-南京南-徐州东-泰安-济南西-北京南	
G13	北京南-济南西-南京南-上海虹桥	
G14	上海虹桥-南京南-济南西-北京南	
G15	北京南-济南西-南京南-上海虹桥	
G16	上海虹桥-南京南-济南西-北京南	
G17	北京南-济南西-南京南-上海虹桥	
G18	上海虹桥-南京南-济南西-北京南	
G19	北京南-天津南-济南西-徐州东-南京南-上海虹桥	
G20	上海虹桥-无锡东-南京南-滕州东-济南西-沧州西-北京南	
G21	北京南-天津南-济南西-泰安-滕州东-徐州东-南京南-镇江南-苏州北-上海虹桥	
G22	上海虹桥-无锡东-南京南-徐州东-曲阜东-泰安-济南西-北京南	
G25	北京西-石家庄-郑州东-西安北	
G26	西安北-郑州东-石家庄-北京西	
G27	北京南-德州东-济南西-合肥南-泾县-黄山北-上饶-武夷山东-福州	
G28	福州-武夷山东-上饶-黄山北-泾县-合肥南-济南西-天津南-北京南	
G29	北京南-天津南-济南西-合肥南	
G30	合肥南-济南西-天津南-北京南	
G31	北京南-济南西-南京南-湖州-杭州东	
G32	杭州东-湖州-南京南-济南西-北京南	
G33	北京南-沧州西-济南西-滕州东-徐州东-宿州东-南京南-宜兴-湖州-杭州东-义乌-金华-衢州-玉山南-上饶-鹰潭北-进贤南-南昌西	
G34	杭州东-湖州-宜兴-溧阳-江宁-南京南-宿州东-徐州东-滕州东-济南西-德州东-北京南	
G35	北京南-沧州西-济南西-曲阜东-徐州东-南京南-溧水-长兴-湖州-杭州东	
G36	杭州东-德清-湖州-句容西-南京南-宿州东-徐州东-枣庄-济南西-德州东-北京南	
G37	北京南-天津南-沧州西-德州东-济南西-徐州东-宿州东-蚌埠南-南京南-溧阳-宜兴-湖州-杭州东	
G38	南昌西-进贤南-鹰潭北-上饶-玉山南-金华-义乌-诸暨-杭州东-湖州-宜兴-溧水-南京南-蚌埠南-徐州东-枣庄-济南西-德州东-天津南-北京南	
G39	北京南-廊坊-沧州西-济南西-枣庄-徐州东-南京南-溧阳-长兴-湖州-杭州东	
G40	杭州东-湖州-长兴-宜兴-南京南-徐州东-滕州东-泰安-济南西-沧州西-北京南	
G41	北京南-德州东-济南西-曲阜东-蚌埠南-南京南-无锡东-上海虹桥-嘉兴南-杭州东	
G42	杭州东-桐乡-嘉兴南-上海虹桥-无锡东-镇江南-南京南-徐州东-泰安-济南西-天津南-北京南	
G43	北京南-德州东-济南西-曲阜东-徐州东-南京南-镇江南-无锡东-上海虹桥-嘉兴南-桐乡-杭州东	
G44	杭州东-嘉兴南-嘉善南-上海虹桥-昆山南-苏州北-镇江南-南京南-徐州东-济南西-天津南-北京南	
G45	北京南-天津南-沧州西-德州东-济南西-枣庄-徐州东-南京南-溧水-宜兴-湖州-德清-杭州东-诸暨-义乌-金华-衢州-江山	
G46	江山-衢州-金华-义乌-诸暨-杭州东-湖州-长兴-宜兴-南京南-徐州东-滕州东-济南西-德州东-廊坊-北京南	
G47	大连北-沈阳北-长春西-哈尔滨西	
G48	哈尔滨西-长春西-沈阳北-大连北	
G49	大连北-沈阳北-长春西-哈尔滨西	
G50	哈尔滨西-长春西-沈阳北-大连北	
G51	天津西-沧州西-德州东-济南西-曲阜东-滕州东-徐州东-宿州东-南京南-宜兴-杭州东-绍兴北-余姚北-宁波	
